track_id,title,mix,is_remixed,release_date,genre_id,subgenre_id,track_url,bpm,duration,duration_ms,isrc,key_id,label_id,release_id,updated_on,is_matched_spot
8174664,Mysteries Of The East,'88 Mecca Mix,f,2016-07-22,37,,beatport.com/track/mysteries-of-the-east/8174664,120,5:15,315326,GBJX38429002,20,32717,1813240,2023-09-15 21:20:13,
8177255,Together,Original Mix,f,2016-07-29,37,,beatport.com/track/together/8177255,120,4:56,296000,HUA470900730,3,52860,1813662,2023-09-15 21:20:13,
8177256,Crush on You,Original Mix,f,2016-07-29,37,,beatport.com/track/crush-on-you/8177256,120,5:28,328000,HUA470900732,22,52860,1813662,2023-09-15 21:20:13,
8069044,Sunbeam,Max Lyazgin Dub,t,2016-07-18,37,,beatport.com/track/sunbeam/8069044,118,5:14,314745,GB9PM1600299,22,16193,1793537,2023-09-15 21:20:13,
8071516,Good Time,Original Mix,f,2016-07-18,37,,beatport.com/track/good-time/8071516,123,5:14,314146,USLZJ1664274,6,29311,1794056,2023-09-15 21:20:13,
8168448,Summer Time,Original Mix,f,2016-07-25,37,,beatport.com/track/summer-time/8168448,120,4:40,280005,FR9W11611985,8,12682,1812150,2023-09-15 21:20:13,
8168451,Body Movin',Original Mix,f,2016-07-25,37,,beatport.com/track/body-movin/8168451,120,2:40,160014,FR9W11610932,5,12682,1812150,2023-09-15 21:20:13,
5285728,'A verità,Original Mix,f,2014-03-25,38,,beatport.com/track/a-verita/5285728,85,4:37,277213,ITB001400186,1,25100,1272189,2023-09-17 13:41:58,t
5250054,"Quit Hatin', Pt. 1",Original Mix,f,2014-03-14,38,,beatport.com/track/quit-hatin-pt-1/5250054,88,4:48,288360,USJI10200256,16,34552,1264317,2023-09-17 13:41:58,t
16421940,Give You A Chance,'90 In Love Corvino Traxx & Roberto Biccari Remix,t,2022-05-11,5,,beatport.com/track/give-you-a-chance/16421940,125,7:17,437760,GBKQU1825090,9,40474,3708641,2023-09-15 23:33:34,t
16460024,Soul Advice,Main Mix,f,2022-05-09,5,,beatport.com/track/soul-advice/16460024,124,7:04,424969,DEAR42184224,5,27022,3720171,2023-09-15 23:33:34,t
16424494,Your Mercy,Original Mix,f,2022-05-08,5,177,beatport.com/track/your-mercy/16424494,110,4:39,279272,NLTD42200052,5,25890,3709457,2023-09-15 23:33:34,t
16500691,California feat. Davide Ciura,Extended Mix,f,2022-05-07,5,,beatport.com/track/california-feat-davide-ciura/16500691,125,4:54,294720,DEW872109572,5,15931,3733287,2023-09-15 23:33:34,t
16464878,It Gets The People Goin',Original Mix,f,2022-05-09,5,,beatport.com/track/it-gets-the-people-goin/16464878,130,6:54,414913,GBKQU2239469,6,38905,3721546,2023-09-15 23:33:34,t
